v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
5.1	2.6	28.9	1.4	62.5	100.6	21.1	-1	67.2	15.5
2.5	5.2	16.1	1.4	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	15.6	-1	-1	-1	-1	-1
27.9	15.6	6.4	5.5	-1	15.1	-1	4.9	19.2	7.8
6.8	83.4	6.4	5.5	-1	10.1	21.1	4.9	9.6	-1
43.9	-1	-1	1.4	-1	-1	10.6	-1	-1	-1
62.5	60	48.2	109.4	93.7	55.3	42.2	39.1	76.8	31.1
57.4	54.8	25.7	30.1	70.3	85.5	84.4	83.1	19.2	69.9
8.4	31.3	3.2	10.9	-1	25.2	-1	-1	-1	11.6
22	39.1	9.6	42.4	15.6	60.4	-1	44	9.6	27.2
-1	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
9.3	28.7	12.9	19.2	15.6	25.2	52.8	9.8	9.6	7.8
9.3	49.5	38.6	21.9	7.8	25.2	-1	9.8	9.6	27.2
0.8	2.6	6.4	4.1	7.8	5	-1	4.9	9.6	11.6
4.2	-1	3.2	1.4	7.8	-1	-1	14.7	-1	-1
14.4	5.2	9.6	12.3	7.8	30.2	10.6	9.8	19.2	3.9
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	31.7	-1	-1	7.8
21.1	104.3	9.6	21.9	31.2	20.1	63.3	9.8	-1	54.4
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
0.8	2.6	-1	2.7	-1	-1	-1	34.2	-1	-1
40.5	-1	45	64.3	23.4	15.1	-1	44	28.8	19.4
32.1	44.3	41.8	99.9	31.2	30.2	31.7	63.5	86.4	15.5
9.3	-1	-1	2.7	-1	-1	-1	-1	-1	3.9
70.1	15.6	12.9	28.7	-1	-1	31.7	19.6	-1	15.5
65	62.6	38.6	41	23.4	-1	-1	58.7	115.2	42.7
5.1	-1	-1	54.7	-1	-1	-1	-1	-1	-1
10.1	2.6	19.3	20.5	7.8	10.1	-1	14.7	28.8	23.3
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156.2	127.8	61	57.5	39	50.3	-1	68.4	19.2	151.4
6.8	26.1	22.5	38.3	-1	30.2	21.1	14.7	-1	-1
71.8	62.6	115.7	94.4	39	40.2	116.1	58.7	67.2	34.9
33.8	52.2	35.3	56.1	23.4	15.1	-1	53.8	48	42.7
20.3	20.9	6.4	15	7.8	15.1	21.1	44	19.2	38.8
24.5	44.3	9.6	42.4	15.6	30.2	-1	14.7	9.6	34.9
-1	7.8	-1	-1	-1	-1	-1	-1	-1	3.9
16.9	-1	3.2	17.8	-1	10.1	-1	44	57.6	19.4
36.3	52.2	41.8	26	7.8	40.2	-1	68.4	19.2	34.9
5.9	7.8	6.4	2.7	31.2	5	-1	4.9	38.4	3.9
0.8	-1	12.9	5.5	-1	10.1	10.6	-1	-1	7.8
46.4	-1	16.1	1.4	23.4	-1	-1	4.9	-1	-1
0.8	-1	-1	-1	-1	-1	42.2	-1	-1	-1
27	18.3	22.5	80.7	39	5	-1	14.7	28.8	38.8
0.8	23.5	3.2	-1	-1	10.1	211.1	14.7	9.6	-1
-1	-1	-1	-1	-1	-1	-1	4.9	38.4	-1
1.7	-1	-1	15	-1	-1	10.6	4.9	-1	-1
13.5	5.2	-1	10.9	-1	-1	-1	9.8	-1	7.8
12.7	20.9	22.5	13.7	7.8	5	95	14.7	9.6	27.2
10.1	18.3	16.1	19.2	7.8	30.2	21.1	4.9	9.6	11.6
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
29.5	31.3	112.4	84.8	195.2	40.2	52.8	63.5	19.2	77.7
-1	-1	-1	4.1	-1	-1	-1	-1	9.6	-1
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
-1	-1	-1	6.8	-1	-1	10.6	-1	-1	-1
15.2	33.9	6.4	95.8	7.8	5	42.2	14.7	-1	-1
13.5	2.6	-1	23.3	-1	-1	-1	9.8	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	5.2	-1	17.8	31.2	-1	-1	-1	-1	-1
1.7	-1	3.2	13.7	-1	-1	-1	-1	-1	-1
-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
36.3	5.2	25.7	28.7	7.8	20.1	-1	73.3	38.4	15.5
1.7	-1	-1	1.4	-1	-1	-1	-1	-1	-1
21.1	26.1	6.4	16.4	54.7	25.2	21.1	24.4	57.6	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
2.5	5.2	22.5	24.6	-1	30.2	-1	-1	-1	7.8
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	3.2	5.5	-1	-1	-1	-1	9.6	-1
2.5	5.2	-1	2.7	78.1	-1	-1	-1	-1	-1
10.1	54.8	32.1	50.6	7.8	20.1	10.6	9.8	9.6	42.7
3.4	-1	3.2	8.2	-1	-1	-1	-1	-1	-1
-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
546.2	60	54.6	41	39	110.7	21.1	78.2	28.8	42.7
2.5	-1	6.4	13.7	7.8	-1	-1	-1	9.6	-1
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
5.1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
22	-1	-1	8.2	-1	-1	-1	-1	-1	-1
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
-1	-1	3.2	1.4	-1	-1	-1	-1	-1	-1
-1	5.2	-1	8.2	-1	-1	-1	-1	9.6	-1
-1	2.6	-1	-1	-1	5	-1	-1	-1	-1
8.4	26.1	73.9	20.5	23.4	45.3	63.3	4.9	153.6	116.5
68.4	67.8	38.6	75.2	23.4	20.1	10.6	24.4	48	34.9
-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
40.5	33.9	16.1	23.3	-1	5	31.7	29.3	28.8	69.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	31.3	3.2	5.5	-1	25.2	-1	9.8	19.2	3.9
-1	5.2	-1	-1	-1	-1	-1	-1	-1	-1
27	49.5	19.3	15	15.6	25.2	42.2	14.7	48	27.2
65.9	75.6	28.9	39.7	46.8	70.4	52.8	19.6	67.2	31.1
-1	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
8.4	20.9	32.1	61.6	-1	10.1	-1	4.9	19.2	23.3
-1	5.2	-1	2.7	-1	-1	-1	-1	-1	-1
1.7	18.3	3.2	2.7	-1	5	21.1	-1	-1	7.8
11	13	12.9	38.3	-1	5	-1	14.7	9.6	11.6
0.8	2.6	-1	5.5	-1	-1	-1	-1	9.6	-1
2.5	2.6	3.2	-1	-1	-1	21.1	4.9	9.6	3.9
84.4	26.1	93.2	62.9	15.6	55.3	190	73.3	57.6	93.2
5.1	60	9.6	30.1	-1	35.2	-1	4.9	9.6	34.9
2.5	-1	-1	6.8	-1	-1	-1	-1	-1	-1
-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
10.1	36.5	3.2	23.3	-1	171	-1	127.1	9.6	-1
4.2	2.6	3.2	19.2	-1	-1	-1	9.8	-1	27.2
25.3	70.4	-1	30.1	23.4	45.3	52.8	29.3	9.6	23.3
3.4	7.8	9.6	10.9	15.6	10.1	-1	4.9	9.6	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	3.2	2.7	-1	30.2	-1	-1	86.4	7.8
106.4	18.3	41.8	104	78.1	161	10.6	117.3	134.4	147.5
11	20.9	12.9	32.8	54.7	5	105.6	29.3	28.8	38.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108.1	26.1	22.5	93	46.8	35.2	-1	14.7	19.2	46.6
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	6.4	-1	7.8	-1	10.6	9.8	-1	11.6
28.7	44.3	28.9	20.5	15.6	30.2	10.6	4.9	9.6	11.6
7.6	2.6	12.9	2.7	-1	5	-1	4.9	48	58.2
5.9	-1	3.2	2.7	-1	-1	-1	-1	9.6	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
23.6	57.4	25.7	30.1	7.8	5	-1	48.9	67.2	7.8
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
0.8	2.6	-1	10.9	-1	20.1	10.6	14.7	19.2	11.6
53.2	52.2	41.8	49.2	46.8	20.1	42.2	44	57.6	31.1
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
14.4	10.4	3.2	17.8	-1	15.1	-1	4.9	9.6	23.3
27	20.9	19.3	43.8	7.8	15.1	10.6	24.4	19.2	27.2
3.4	-1	-1	6.8	-1	-1	-1	-1	-1	-1
3.4	112.1	12.9	32.8	-1	110.7	-1	58.7	9.6	-1
15.2	2.6	12.9	30.1	7.8	15.1	52.8	4.9	28.8	3.9
0.8	-1	-1	-1	-1	-1	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	17.8	15.6	35.2	10.6	78.2	19.2	163.1
14.4	13	-1	23.3	7.8	25.2	-1	4.9	-1	7.8
0.8	-1	-1	2.7	-1	-1	-1	-1	9.6	-1
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	-1	-1	-1	-1	4.9	-1	-1
4.2	2.6	12.9	8.2	-1	-1	-1	4.9	9.6	3.9
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	15.5
16.9	57.4	25.7	45.1	31.2	20.1	21.1	39.1	76.8	38.8
-1	-1	-1	1.4	-1	-1	-1	-1	9.6	-1
11	7.8	22.5	36.9	7.8	20.1	21.1	24.4	67.2	19.4
64.2	99.1	125.3	135.4	85.9	85.5	84.4	78.2	67.2	201.9
56.6	70.4	45	46.5	85.9	70.4	84.4	68.4	76.8	42.7
38	10.4	25.7	299.6	398.2	15.1	21.1	112.4	124.8	310.6
218.7	20.9	9.6	12.3	15.6	25.2	63.3	14.7	48	46.6
3.4	-1	-1	52	-1	25.2	-1	9.8	-1	-1
105.5	57.4	57.8	42.4	31.2	65.4	-1	88	28.8	81.5
-1	-1	-1	6.8	-1	-1	-1	-1	-1	-1
12.7	-1	-1	-1	-1	-1	-1	-1	19.2	-1
8.4	31.3	6.4	2.7	-1	50.3	42.2	4.9	48	15.5
13.5	-1	-1	16.4	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
32.1	86.1	80.3	83.5	109.3	15.1	95	97.8	19.2	104.8
2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
43.1	-1	3.2	17.8	-1	5	-1	-1	19.2	46.6
5.1	-1	-1	-1	-1	-1	-1	-1	-1	-1
26.2	13	12.9	17.8	7.8	30.2	10.6	9.8	-1	31.1
52.3	36.5	22.5	24.6	23.4	35.2	52.8	39.1	48	19.4
11.8	117.3	25.7	28.7	15.6	15.1	-1	68.4	-1	31.1
7.6	15.6	22.5	9.6	-1	5	42.2	4.9	-1	19.4
55.7	15.6	9.6	31.5	31.2	15.1	-1	34.2	19.2	50.5
21.1	2.6	3.2	20.5	-1	5	42.2	-1	-1	-1
24.5	10.4	16.1	27.4	39	25.2	21.1	19.6	67.2	19.4
-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
2.5	-1	-1	2.7	15.6	-1	-1	-1	-1	3.9
5.9	-1	-1	-1	-1	-1	-1	-1	9.6	-1
79.4	-1	-1	-1	-1	-1	-1	4.9	57.6	-1
22.8	7.8	3.2	21.9	7.8	5	31.7	9.8	19.2	34.9
23.6	33.9	19.3	32.8	31.2	25.2	-1	68.4	57.6	11.6
105.5	62.6	54.6	120.4	101.5	110.7	31.7	34.2	76.8	27.2
12.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
28.7	18.3	3.2	34.2	23.4	10.1	-1	4.9	48	38.8
6.8	-1	-1	13.7	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
