v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
0.8	-1	-1	8.2	-1	-1	10.6	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	3.2	1.4	-1	-1	-1	14.7	-1	23.3
20.3	148.6	96.4	68.4	54.7	80.5	10.6	88	-1	73.8
24.5	10.4	6.4	17.8	23.4	-1	10.6	14.7	28.8	62.1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
6.8	-1	-1	9.6	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
241.5	-1	22.5	-1	-1	10.1	-1	-1	-1	3.9
3.4	-1	-1	-1	-1	-1	-1	4.9	-1	-1
3.4	2.6	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
73.5	46.9	28.9	112.2	31.2	10.1	21.1	63.5	153.6	27.2
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
29.5	31.3	12.9	41	31.2	25.2	10.6	9.8	-1	34.9
65.9	49.5	45	43.8	7.8	115.7	10.6	88	48	19.4
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	-1	-1	1.4	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	4.9	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	3.9
4.2	-1	-1	1.4	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
88.6	36.5	35.3	86.2	31.2	90.5	31.7	44	115.2	27.2
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	5.2	3.2	-1	-1	5	-1	14.7	-1	7.8
10.1	5.2	-1	-1	-1	-1	21.1	-1	-1	-1
2.5	-1	-1	-1	-1	-1	-1	4.9	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	-1	-1	-1	-1	-1	10.6	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	2.6	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
835.8	41.7	90	57.5	101.5	120.7	21.1	83.1	86.4	182.5
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	5	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
5.1	10.4	12.9	4.1	15.6	15.1	31.7	-1	-1	-1
5.1	-1	16.1	1.4	156.2	-1	10.6	4.9	28.8	-1
4.2	-1	3.2	38.3	54.7	5	-1	14.7	-1	15.5
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
40.5	20.9	32.1	31.5	39	30.2	10.6	48.9	9.6	19.4
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	3.9
14.4	31.3	19.3	46.5	-1	35.2	84.4	34.2	19.2	54.4
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	70.4	35.3	42.4	7.8	55.3	31.7	146.6	28.8	7.8
-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	6.8	-1	-1	-1	-1	-1	-1
41.4	18.3	25.7	30.1	31.2	40.2	-1	24.4	38.4	54.4
13.5	28.7	51.4	24.6	101.5	10.1	-1	44	-1	19.4
-1	-1	9.6	-1	-1	-1	-1	-1	-1	-1
1.7	2.6	202.4	58.8	46.8	15.1	-1	48.9	-1	7.8
0.8	-1	6.4	2.7	-1	10.1	42.2	19.6	134.4	3.9
27	39.1	61	52	23.4	35.2	42.2	29.3	19.2	19.4
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	4.9	-1	-1
7.6	18.3	22.5	41	-1	50.3	-1	19.6	19.2	23.3
11.8	2.6	-1	4.1	-1	-1	-1	-1	-1	11.6
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	-1	-1	-1	-1	-1	10.6	-1	-1	-1
-1	-1	41.8	1.4	-1	-1	-1	-1	-1	3.9
2.5	-1	-1	30.1	-1	-1	-1	4.9	-1	7.8
39.7	39.1	64.3	62.9	46.8	50.3	327.2	34.2	9.6	69.9
36.3	5.2	35.3	41	15.6	15.1	31.7	4.9	48	19.4
84.4	13	70.7	78	23.4	-1	126.7	9.8	19.2	38.8
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
6.8	5.2	9.6	17.8	15.6	10.1	-1	9.8	-1	-1
3.4	-1	3.2	1.4	-1	5	10.6	-1	-1	-1
27	-1	9.6	9.6	109.3	5	42.2	14.7	9.6	19.4
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	10.4	6.4	2.7	-1	20.1	21.1	34.2	19.2	11.6
-1	5.2	-1	8.2	-1	-1	10.6	-1	28.8	7.8
9.3	-1	-1	4.1	-1	-1	-1	-1	-1	-1
10.1	-1	6.4	5.5	-1	35.2	-1	4.9	-1	31.1
65.9	44.3	32.1	56.1	140.5	15.1	52.8	39.1	67.2	155.3
0.8	2.6	-1	1.4	-1	-1	-1	14.7	-1	-1
24.5	18.3	115.7	54.7	54.7	10.1	-1	39.1	19.2	7.8
1.7	-1	-1	1.4	-1	-1	10.6	-1	-1	3.9
47.3	13	6.4	23.3	39	20.1	21.1	19.6	28.8	11.6
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
22.8	18.3	16.1	36.9	46.8	186.1	42.2	97.8	9.6	50.5
10.1	28.7	3.2	5.5	-1	20.1	63.3	19.6	-1	11.6
0.8	-1	9.6	-1	7.8	-1	21.1	-1	67.2	-1
2.5	52.2	35.3	34.2	7.8	-1	42.2	-1	9.6	7.8
1.7	-1	-1	2.7	-1	-1	-1	-1	-1	-1
-1	-1	-1	5.5	-1	5	-1	-1	-1	-1
-1	-1	-1	6.8	-1	-1	-1	-1	-1	7.8
6.8	2.6	6.4	4.1	-1	-1	-1	14.7	-1	-1
54.9	7.8	9.6	47.9	7.8	15.1	52.8	44	57.6	38.8
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
3.4	-1	-1	20.5	7.8	-1	-1	-1	-1	-1
3.4	-1	6.4	4.1	-1	-1	-1	-1	9.6	-1
0.8	-1	35.3	1.4	7.8	5	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	28.9	1.4	7.8	-1	-1	4.9	76.8	34.9
24.5	7.8	64.3	10.9	288.9	-1	21.1	14.7	-1	-1
1.7	-1	-1	-1	-1	-1	-1	9.8	-1	-1
11	10.4	16.1	31.5	-1	45.3	168.9	39.1	57.6	11.6
11.8	2.6	3.2	9.6	15.6	10.1	-1	29.3	38.4	-1
43.9	80.8	106	65.7	62.5	55.3	63.3	29.3	124.8	58.2
6.8	23.5	6.4	5.5	-1	-1	-1	4.9	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
598.6	498.1	366.2	663.5	249.9	291.8	126.7	322.6	374.5	151.4
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	2.7	-1	-1	-1	-1	-1	-1
34.6	15.6	16.1	46.5	39	10.1	-1	34.2	19.2	19.4
4.2	2.6	3.2	2.7	-1	5	-1	4.9	-1	-1
1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
11.8	7.8	-1	20.5	23.4	-1	10.6	4.9	9.6	11.6
-1	7.8	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	10.9	-1	-1	10.6	-1	-1	-1
-1	10.4	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	3.2	-1	-1	-1	-1	-1	-1	7.8
-1	7.8	-1	4.1	-1	-1	-1	-1	19.2	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
89.5	148.6	163.8	117.7	70.3	206.2	31.7	107.5	163.2	108.7
3.4	7.8	22.5	9.6	-1	-1	-1	4.9	9.6	-1
17.7	276.4	122.1	56.1	-1	25.2	10.6	68.4	28.8	50.5
16.9	15.6	19.3	19.2	15.6	130.8	10.6	34.2	28.8	27.2
-1	7.8	-1	-1	-1	-1	-1	-1	-1	-1
13.5	36.5	80.3	36.9	39	20.1	10.6	34.2	28.8	101
38	39.1	54.6	36.9	15.6	30.2	10.6	63.5	96	62.1
45.6	20.9	28.9	62.9	23.4	55.3	63.3	58.7	38.4	31.1
15.2	33.9	16.1	42.4	54.7	5	21.1	58.7	38.4	38.8
2.5	-1	-1	8.2	-1	-1	-1	-1	-1	19.4
15.2	28.7	6.4	35.6	7.8	-1	63.3	9.8	163.2	46.6
-1	2.6	9.6	1.4	-1	-1	-1	4.9	-1	-1
120.7	93.9	83.5	82.1	31.2	90.5	-1	44	57.6	116.5
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
11	2.6	3.2	5.5	-1	5	-1	-1	-1	-1
5.9	-1	-1	4.1	-1	-1	-1	-1	-1	3.9
1.7	-1	-1	1.4	-1	-1	-1	-1	-1	-1
15.2	23.5	19.3	19.2	-1	15.1	10.6	9.8	38.4	3.9
-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
4.2	5.2	22.5	2.7	7.8	-1	158.3	4.9	297.7	3.9
-1	-1	-1	4.1	-1	60.4	-1	-1	67.2	85.4
-1	-1	-1	-1	-1	-1	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	11.6
-1	2.6	-1	6.8	-1	-1	-1	4.9	-1	3.9
64.2	36.5	48.2	78	39	25.2	-1	107.5	48	34.9
-1	5.2	-1	1.4	-1	-1	-1	-1	-1	-1
2.5	2.6	3.2	4.1	7.8	-1	-1	-1	-1	-1
103	93.9	273.1	69.8	156.2	186.1	137.2	68.4	38.4	89.3
0.8	-1	3.2	2.7	-1	-1	-1	-1	-1	-1
0.8	5.2	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	13.7	-1	-1	-1	-1	-1	-1
2.5	2.6	-1	21.9	-1	-1	-1	-1	-1	-1
22.8	52.2	54.6	72.5	15.6	25.2	42.2	39.1	48	42.7
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
94.6	93.9	45	157.3	23.4	75.5	52.8	78.2	86.4	42.7
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
76	75.6	102.8	84.8	54.7	50.3	63.3	73.3	163.2	101
-1	-1	-1	8.2	-1	-1	-1	4.9	-1	-1
2.5	-1	3.2	1.4	-1	5	-1	-1	-1	-1
0.8	13	-1	5.5	-1	-1	-1	-1	-1	7.8
60.8	46.9	51.4	56.1	7.8	140.9	10.6	44	28.8	50.5
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6.8	18.3	16.1	54.7	70.3	25.2	10.6	19.6	-1	7.8
48.1	54.8	9.6	64.3	23.4	15.1	-1	29.3	19.2	62.1
-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	-1	-1	-1	-1	4.9	-1	-1
54.9	15.6	77.1	26	31.2	115.7	42.2	63.5	48	46.6
58.3	83.4	41.8	62.9	62.5	40.2	84.4	83.1	86.4	46.6
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	20.9	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
9.3	-1	3.2	17.8	15.6	-1	-1	14.7	28.8	23.3
0.8	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	5.2	9.6	4.1	7.8	10.1	-1	29.3	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16.9	20.9	6.4	13.7	23.4	10.1	52.8	14.7	-1	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
22.8	10.4	6.4	26	23.4	30.2	-1	24.4	86.4	23.3
84.4	28.7	41.8	56.1	-1	60.4	-1	146.6	9.6	54.4
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
30.4	39.1	109.2	75.2	15.6	498	327.2	24.4	-1	403.8
339.4	146	661.8	392.6	694.9	392.4	42.2	307.9	96	384.4
-1	-1	-1	-1	-1	-1	-1	-1	-1	3.9
12.7	36.5	9.6	34.2	23.4	40.2	-1	44	28.8	19.4
126.6	75.6	45	209.3	109.3	75.5	42.2	171.1	105.6	89.3
0.8	10.4	9.6	6.8	-1	15.1	-1	-1	-1	-1
12.7	5.2	22.5	23.3	31.2	40.2	-1	34.2	67.2	15.5
0.8	-1	-1	5.5	-1	-1	-1	-1	-1	-1
42.2	54.8	28.9	72.5	31.2	130.8	52.8	19.6	57.6	73.8
38	15.6	3.2	13.7	281.1	5	42.2	19.6	48	-1
-1	-1	-1	10.9	-1	-1	-1	-1	-1	-1
24.5	18.3	67.5	95.8	288.9	125.8	95	4.9	38.4	54.4
-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
2.5	2.6	-1	2.7	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	15.6	-1	-1	-1	-1	-1
65	36.5	61	54.7	15.6	30.2	52.8	48.9	48	42.7
11.8	-1	-1	10.9	-1	5	-1	-1	96	-1
21.1	-1	19.3	50.6	70.3	105.6	-1	53.8	-1	46.6
-1	-1	-1	17.8	-1	-1	-1	-1	-1	-1
0.8	-1	-1	2.7	-1	5	-1	-1	19.2	-1
12.7	39.1	302	26	23.4	85.5	52.8	53.8	76.8	42.7
6.8	-1	3.2	1.4	-1	-1	-1	4.9	-1	-1
122.4	114.7	96.4	82.1	54.7	65.4	10.6	73.3	124.8	50.5
109.8	185.1	57.8	46.5	31.2	30.2	10.6	136.9	48	50.5
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
22	46.9	9.6	49.2	-1	-1	21.1	39.1	28.8	7.8
-1	2.6	-1	2.7	23.4	-1	-1	4.9	-1	-1
-1	-1	-1	1.4	-1	5	-1	-1	-1	-1
22.8	13	22.5	53.4	31.2	40.2	63.3	29.3	-1	38.8
157.9	143.4	186.3	127.2	179.6	130.8	84.4	176	134.4	97.1
19.4	15.6	9.6	112.2	23.4	5	31.7	58.7	76.8	23.3
40.5	18.3	12.9	30.1	-1	5	63.3	19.6	124.8	54.4
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	2.6	-1	-1	-1	-1	-1	4.9	-1	11.6
61.6	44.3	45	123.1	-1	80.5	105.6	88	57.6	42.7
88.6	2.6	-1	1.4	7.8	5	21.1	-1	-1	-1
39.7	127.8	12.9	65.7	15.6	-1	42.2	58.7	19.2	19.4
13.5	46.9	25.7	38.3	-1	65.4	31.7	29.3	67.2	19.4
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31.2	10.4	32.1	30.1	31.2	30.2	-1	48.9	57.6	85.4
912.7	20.9	6.4	2.7	-1	-1	-1	-1	-1	3.9
6.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
237.2	146	208.8	146.4	257.7	211.3	411.7	254.2	19.2	333.9
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
14.4	23.5	6.4	156	7.8	10.1	-1	63.5	-1	27.2
-1	-1	-1	10.9	-1	-1	-1	-1	-1	-1
1.7	13	6.4	1.4	46.8	5	211.1	-1	48	-1
9.3	46.9	9.6	19.2	-1	105.6	126.7	24.4	9.6	3.9
-1	5.2	-1	-1	-1	-1	-1	-1	48	-1
19.4	54.8	19.3	17.8	15.6	80.5	31.7	9.8	19.2	15.5
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	7.8	-1	-1	-1	5	-1	-1	-1	-1
-1	5.2	-1	-1	-1	-1	-1	-1	-1	-1
28.7	70.4	19.3	49.2	39	30.2	84.4	39.1	76.8	104.8
73.5	60	48.2	56.1	39	80.5	42.2	48.9	76.8	81.5
33.8	60	51.4	69.8	23.4	65.4	95	34.2	19.2	23.3
-1	7.8	-1	2.7	-1	-1	-1	-1	-1	-1
64.2	41.7	9.6	10.9	54.7	15.1	-1	19.6	9.6	-1
5.1	28.7	51.4	12.3	-1	55.3	-1	9.8	67.2	15.5
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
3.4	5.2	-1	-1	-1	5	-1	-1	9.6	-1
44.7	106.9	51.4	64.3	7.8	35.2	52.8	53.8	28.8	23.3
27	91.3	22.5	47.9	39	35.2	31.7	34.2	38.4	19.4
2.5	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
65	13	16.1	46.5	15.6	70.4	63.3	34.2	28.8	34.9
20.3	23.5	12.9	21.9	-1	25.2	-1	-1	38.4	15.5
-1	-1	-1	2.7	-1	-1	-1	4.9	-1	-1
89.5	213.8	112.4	88.9	78.1	110.7	73.9	29.3	48	58.2
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
1.7	-1	-1	4.1	-1	-1	-1	-1	-1	-1
15.2	7.8	12.9	21.9	7.8	10.1	-1	29.3	-1	27.2
-1	-1	-1	1.4	-1	5	-1	4.9	-1	-1
46.4	80.8	83.5	71.1	101.5	120.7	73.9	78.2	38.4	73.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	2.7	-1	-1	-1	-1	-1	-1
1.7	2.6	-1	-1	-1	-1	-1	-1	-1	-1
27.9	26.1	25.7	38.3	23.4	70.4	-1	14.7	-1	19.4
-1	5.2	3.2	1.4	-1	-1	-1	-1	9.6	-1
22	20.9	41.8	16.4	-1	25.2	73.9	9.8	28.8	46.6
18.6	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	-1	7.8	-1	21.1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	-1	-1	-1	-1	-1	-1	4.9	57.6	-1
78.5	109.5	64.3	45.1	39	150.9	190	92.9	57.6	147.5
43.1	49.5	28.9	43.8	7.8	55.3	-1	19.6	96	101
38.8	70.4	25.7	67	85.9	25.2	42.2	44	192	73.8
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
359.7	-1	61	12.3	15.6	40.2	10.6	24.4	38.4	15.5
55.7	104.3	28.9	165.5	39	60.4	63.3	68.4	19.2	27.2
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57.4	2.6	25.7	58.8	54.7	20.1	-1	19.6	163.2	15.5
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
39.7	135.6	122.1	64.3	31.2	25.2	10.6	58.7	288.1	73.8
2.5	-1	-1	46.5	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
5.1	-1	-1	75.2	-1	-1	-1	-1	-1	-1
99.6	-1	32.1	23.3	-1	-1	-1	9.8	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
16	276.4	38.6	97.1	7.8	25.2	21.1	88	57.6	54.4
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	10.4	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	20.9	22.5	15	15.6	15.1	-1	4.9	-1	34.9
-1	-1	3.2	1.4	-1	-1	-1	-1	9.6	-1
190	161.7	106	195.6	78.1	322	200.6	210.2	57.6	89.3
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
22	13	-1	2.7	7.8	-1	-1	9.8	9.6	-1
4.2	-1	-1	-1	-1	-1	-1	-1	-1	-1
6.8	31.3	12.9	20.5	-1	-1	63.3	4.9	-1	23.3
-1	2.6	-1	15	-1	-1	-1	-1	-1	-1
4.2	-1	-1	4.1	15.6	-1	-1	4.9	28.8	-1
24.5	23.5	22.5	23.3	46.8	30.2	52.8	4.9	38.4	34.9
1.7	2.6	6.4	-1	15.6	-1	31.7	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
188.3	339	202.4	136.8	148.4	226.4	105.6	92.9	259.3	104.8
-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
38	23.5	45	32.8	23.4	35.2	52.8	34.2	76.8	54.4
16	15.6	45	6.8	15.6	95.6	10.6	44	144	11.6
65	31.3	70.7	46.5	54.7	25.2	137.2	39.1	96	213.6
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
33.8	26.1	16.1	32.8	23.4	30.2	-1	29.3	9.6	19.4
10.1	7.8	9.6	8.2	15.6	5	10.6	-1	9.6	3.9
-1	2.6	-1	-1	-1	-1	-1	-1	19.2	-1
800.4	70.4	131.7	120.4	54.7	55.3	73.9	176	259.3	85.4
179.8	250.3	154.2	105.3	117.1	110.7	73.9	244.4	172.8	116.5
35.5	20.9	16.1	24.6	23.4	30.2	-1	4.9	38.4	15.5
-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
36.3	125.2	125.3	165.5	70.3	427.6	116.1	200.4	57.6	240.7
0.8	-1	-1	1.4	-1	-1	-1	-1	19.2	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	23.5	16.1	-1	-1	15.1	-1	-1	-1	3.9
59.9	60	61	56.1	31.2	40.2	73.9	48.9	9.6	23.3
16	-1	6.4	13.7	-1	-1	10.6	-1	9.6	7.8
0.8	-1	-1	8.2	-1	-1	-1	-1	-1	-1
-1	-1	-1	21.9	-1	-1	-1	-1	-1	-1
116.5	46.9	147.8	134.1	320.1	176.1	126.7	107.5	57.6	116.5
8.4	5.2	6.4	4.1	15.6	-1	10.6	4.9	-1	19.4
5.9	23.5	6.4	12.3	-1	-1	-1	63.5	28.8	62.1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
126.6	221.7	57.8	127.2	15.6	55.3	-1	136.9	19.2	256.3
23.6	18.3	35.3	34.2	-1	35.2	31.7	14.7	48	11.6
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	31.3	6.4	-1	-1	-1	-1	-1	-1	-1
112.3	70.4	51.4	71.1	54.7	75.5	42.2	53.8	96	73.8
1.7	7.8	3.2	13.7	-1	5	-1	-1	9.6	-1
0.8	13	6.4	35.6	-1	60.4	10.6	24.4	124.8	7.8
3.4	-1	-1	12.3	7.8	-1	-1	-1	-1	-1
59.1	44.3	51.4	42.4	46.8	55.3	52.8	44	163.2	81.5
59.9	54.8	99.6	140.9	265.5	211.3	42.2	73.3	19.2	50.5
1.7	-1	3.2	8.2	-1	-1	-1	4.9	9.6	-1
-1	-1	-1	4.1	-1	5	-1	4.9	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
740.4	1556.8	1532.4	450.1	2217.5	1836.1	432.8	395.9	710.6	807.6
30.4	65.2	28.9	60.2	78.1	55.3	-1	58.7	38.4	73.8
49.8	36.5	106	83.5	117.1	55.3	10.6	83.1	57.6	66
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	8.2	-1	-1	-1	-1	-1	-1
-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
9.3	2.6	3.2	42.4	7.8	5	-1	44	9.6	3.9
-1	-1	-1	-1	7.8	-1	126.7	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	5	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	7.8	-1	-1	-1	-1	-1	4.9	-1	-1
33.8	73	48.2	38.3	23.4	10.1	105.6	63.5	67.2	34.9
43.9	57.4	16.1	45.1	15.6	45.3	10.6	63.5	38.4	27.2
9.3	10.4	32.1	41	39	5	-1	53.8	48	73.8
3.4	-1	22.5	2.7	-1	-1	-1	92.9	115.2	7.8
5.1	28.7	22.5	35.6	-1	45.3	-1	14.7	9.6	-1
-1	-1	-1	-1	-1	5	-1	-1	-1	-1
117.4	83.4	57.8	95.8	54.7	95.6	42.2	127.1	38.4	77.7
51.5	5.2	6.4	30.1	23.4	10.1	31.7	-1	38.4	23.3
-1	-1	-1	-1	-1	-1	31.7	-1	-1	-1
169.7	206	221.7	203.8	109.3	266.6	232.2	278.6	230.5	275.7
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	9.8	-1	-1
7.6	2.6	-1	-1	23.4	-1	-1	4.9	-1	-1
1.7	5.2	6.4	13.7	-1	-1	-1	14.7	-1	3.9
99.6	161.7	122.1	146.4	101.5	241.5	126.7	58.7	57.6	174.7
16.9	2.6	45	30.1	15.6	20.1	21.1	44	624.2	15.5
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	2.7	-1	-1	-1	-1	-1	-1
5.9	7.8	-1	20.5	46.8	20.1	21.1	39.1	28.8	38.8
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8.4	-1	6.4	6.8	15.6	5	-1	4.9	-1	-1
-1	5.2	-1	1.4	-1	-1	-1	-1	-1	-1
3.4	-1	-1	1.4	-1	-1	-1	-1	-1	11.6
0.8	7.8	9.6	1.4	15.6	-1	-1	19.6	-1	7.8
