NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.22867	58.3	23.5	35.3	32.8	31.2	60.4	31.7	53.8	28.8	42.7
Hs.228809	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.228825	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.22895	18.6	15.6	57.8	20.5	-1	-1	-1	14.7	19.2	3.9
Hs.228964	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.22905	23.6	-1	16.1	5.5	23.4	-1	-1	-1	9.6	27.2
Hs.22907	23.6	13	22.5	2.7	-1	5	-1	9.8	-1	7.8
Hs.229128	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.22917	17.7	-1	9.6	8.2	-1	10.1	-1	4.9	19.2	15.5
Hs.22920	38.8	-1	3.2	6.8	7.8	-1	-1	-1	9.6	15.5
Hs.229275	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.22930	3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.229304	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.229335	28.7	10.4	99.6	23.3	15.6	55.3	10.6	9.8	67.2	15.5
Hs.229512	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.22960	63.3	33.9	41.8	42.4	23.4	70.4	116.1	53.8	124.8	34.9
Hs.229613	1.7	-1	-1	-1	-1	15.1	-1	-1	-1	-1
Hs.229641	343.6	179.9	208.8	147.7	187.4	65.4	232.2	141.7	96	201.9
Hs.22973	6.8	-1	-1	-1	7.8	-1	-1	4.9	-1	11.6
Hs.22974	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.229830	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.229988	48.1	7.8	12.9	27.4	-1	45.3	10.6	19.6	9.6	66
Hs.229997	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.230028	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.230188	-1	-1	6.4	5.5	-1	-1	-1	-1	-1	-1
Hs.230205	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.2303	3.4	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.23033	40.5	36.5	45	86.2	15.6	30.2	52.8	34.2	67.2	27.2
Hs.2306	10.1	-1	-1	-1	15.6	-1	-1	-1	-1	-1
Hs.230601	58.3	23.5	28.9	127.2	85.9	140.9	10.6	34.2	115.2	46.6
Hs.230783	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.230795	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.231029	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.23111	89.5	101.7	38.6	43.8	31.2	115.7	52.8	24.4	105.6	46.6
Hs.23118	4.2	10.4	25.7	-1	-1	276.7	-1	-1	9.6	3.9
Hs.23119	15.2	10.4	19.3	16.4	15.6	5	21.1	19.6	9.6	15.5
Hs.231295	3.4	7.8	3.2	8.2	-1	10.1	-1	-1	-1	-1
Hs.23131	78.5	7.8	45	83.5	-1	100.6	52.8	63.5	96	85.4
Hs.231320	10.1	26.1	-1	9.6	-1	95.6	10.6	4.9	134.4	7.8
Hs.23133	65	18.3	16.1	38.3	46.8	10.1	-1	19.6	38.4	50.5
Hs.231367	-1	57.4	12.9	-1	-1	-1	-1	19.6	-1	7.8
Hs.231411	133.4	193	112.4	119	117.1	90.5	31.7	63.5	172.8	77.7
Hs.231415	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.231535	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.23158	60.8	28.7	-1	8.2	7.8	5	-1	4.9	-1	23.3
Hs.231616	20.3	49.5	93.2	46.5	171.8	176.1	84.4	39.1	19.2	69.9
Hs.231655	26.2	13	54.6	27.4	210.8	20.1	10.6	39.1	38.4	19.4
Hs.23170	68.4	70.4	51.4	58.8	78.1	80.5	21.1	44	124.8	38.8
Hs.23172	67.5	2.6	-1	-1	-1	5	-1	4.9	-1	19.4
Hs.231750	40.5	39.1	32.1	28.7	31.2	25.2	-1	24.4	28.8	27.2
Hs.231756	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.231761	17.7	20.9	-1	19.2	-1	10.1	10.6	19.6	28.8	50.5
Hs.231815	-1	-1	-1	2.7	-1	10.1	10.6	-1	-1	-1
Hs.231829	16.9	-1	6.4	-1	-1	-1	-1	-1	-1	264
Hs.231830	-1	-1	-1	5.5	-1	-1	-1	-1	-1	-1
Hs.231850	49.8	5.2	19.3	23.3	7.8	20.1	10.6	14.7	67.2	62.1
Hs.231852	-1	-1	-1	-1	-1	-1	-1	14.7	-1	-1
Hs.231861	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.23187	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.231873	2.5	18.3	12.9	10.9	7.8	5	-1	29.3	67.2	-1
Hs.231883	87.8	91.3	118.9	56.1	23.4	30.2	73.9	63.5	76.8	38.8
Hs.231895	16.9	2.6	6.4	19.2	7.8	5	-1	19.6	-1	11.6
Hs.231897	1.7	-1	-1	58.8	-1	-1	-1	-1	-1	-1
Hs.2319	3.4	2.6	19.3	5.5	7.8	5	-1	4.9	-1	-1
Hs.231923	-1	-1	22.5	-1	-1	-1	-1	-1	-1	-1
Hs.231942	26.2	36.5	28.9	26	-1	60.4	42.2	14.7	38.4	46.6
Hs.231974	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.23198	24.5	20.9	6.4	16.4	23.4	15.1	10.6	9.8	9.6	42.7
Hs.231989	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.232002	42.2	23.5	35.3	56.1	93.7	10.1	31.7	88	57.6	54.4
Hs.232014	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.232021	53.2	70.4	22.5	60.2	31.2	45.3	63.3	63.5	48	50.5
Hs.232026	0.8	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.232044	1.7	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.232054	11	2.6	12.9	32.8	15.6	-1	42.2	4.9	96	23.3
Hs.232072	12.7	-1	9.6	12.3	-1	-1	-1	-1	-1	-1
Hs.232092	5.9	-1	-1	8.2	-1	-1	-1	9.8	-1	-1
Hs.232108	22.8	5.2	67.5	78	-1	201.2	21.1	9.8	-1	240.7
Hs.232137	-1	-1	-1	-1	-1	-1	-1	-1	38.4	-1
Hs.232142	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232145	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232151	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.232165	4.2	20.9	6.4	99.9	-1	457.8	-1	4.9	-1	3.9
Hs.23217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232175	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232176	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.232194	530.2	623.2	453	380.3	117.1	337	116.1	449.7	460.9	151.4
Hs.232213	4.2	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.232230	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.232270	23.6	-1	12.9	53.4	-1	5	-1	34.2	9.6	3.9
Hs.232272	-1	-1	-1	-1	-1	-1	-1	-1	28.8	-1
Hs.232283	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232289	16	5.2	16.1	5.5	7.8	-1	-1	9.8	-1	-1
Hs.232291	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232296	10.1	23.5	9.6	15	-1	25.2	10.6	9.8	9.6	50.5
Hs.232332	1.7	-1	-1	1.4	-1	-1	10.6	-1	-1	-1
Hs.232341	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232364	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232375	19.4	2.6	38.6	24.6	109.3	45.3	21.1	4.9	48	42.7
Hs.2324	57.4	-1	3.2	801.7	-1	-1	-1	-1	9.6	-1
Hs.232413	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.232417	3.4	2.6	45	5.5	-1	15.1	-1	-1	-1	3.9
Hs.23245	13.5	-1	9.6	13.7	15.6	-1	-1	78.2	-1	7.8
Hs.23246	0.8	-1	-1	-1	-1	-1	-1	9.8	-1	-1
Hs.23248	47.3	36.5	48.2	39.7	7.8	40.2	-1	48.9	19.2	27.2
Hs.23251	-1	-1	6.4	10.9	-1	-1	-1	-1	-1	-1
Hs.232517	-1	-1	-1	-1	-1	-1	-1	-1	19.2	-1
Hs.232520	-1	-1	-1	-1	-1	-1	-1	-1	19.2	-1
Hs.232532	20.3	31.3	32.1	28.7	7.8	20.1	21.1	9.8	-1	11.6
Hs.232534	-1	-1	-1	4.1	-1	-1	-1	-1	19.2	-1
Hs.232535	0.8	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.232543	99.6	226.9	183.1	157.3	54.7	221.3	116.1	146.6	86.4	267.9
Hs.232573	1.7	-1	-1	-1	-1	-1	-1	-1	19.2	-1
Hs.232604	-1	-1	-1	-1	-1	10.1	-1	-1	-1	-1
Hs.232618	141.8	2.6	-1	5.5	-1	-1	10.6	-1	-1	89.3
Hs.23262	4.2	33.9	61	13.7	-1	5	-1	-1	-1	7.8
Hs.232649	-1	-1	-1	-1	-1	-1	-1	14.7	-1	-1
Hs.232673	-1	-1	-1	-1	-1	-1	-1	-1	19.2	-1
Hs.232684	-1	-1	-1	-1	-1	5	-1	-1	-1	-1
Hs.23270	31.2	23.5	19.3	52	31.2	25.2	10.6	24.4	-1	54.4
Hs.232721	32.1	70.4	32.1	57.5	54.7	85.5	42.2	24.4	57.6	46.6
Hs.232734	0.8	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.232744	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232751	0.8	-1	6.4	6.8	-1	-1	-1	4.9	-1	-1
Hs.232769	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232770	7.6	-1	3.2	2.7	-1	5	-1	-1	9.6	-1
Hs.232813	0.8	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232819	16	7.8	-1	5.5	-1	-1	-1	-1	9.6	-1
Hs.232871	-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.232934	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.232976	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.23298	-1	-1	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.233037	-1	-1	-1	-1	-1	-1	-1	-1	19.2	-1
Hs.233119	51.5	44.3	12.9	27.4	39	25.2	-1	34.2	9.6	50.5
Hs.233120	2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.233134	0.8	-1	-1	-1	-1	-1	-1	-1	-1	3.9
Hs.233142	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.233160	26.2	26.1	189.5	17.8	-1	10.1	21.1	24.4	28.8	81.5
Hs.233165	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.233200	3.4	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.233220	8.4	65.2	3.2	6.8	-1	15.1	10.6	9.8	211.3	7.8
Hs.233221	0.8	-1	-1	5.5	-1	-1	-1	-1	9.6	-1
Hs.233235	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.233240	27	52.2	314.8	205.2	156.2	226.4	52.8	127.1	38.4	174.7
Hs.23331	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.233325	6.8	23.5	12.9	21.9	-1	15.1	21.1	19.6	48	7.8
Hs.233343	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.233356	0.8	-1	-1	2.7	-1	-1	-1	9.8	9.6	3.9
Hs.233363	11	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.233385	-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.233389	38.8	26.1	122.1	116.3	54.7	25.2	10.6	68.4	105.6	19.4
Hs.233398	20.3	7.8	16.1	19.2	7.8	10.1	-1	-1	19.2	11.6
Hs.233404	47.3	5.2	48.2	1.4	23.4	60.4	21.1	9.8	9.6	85.4
Hs.233407	0.8	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.233458	90.3	114.7	106	68.4	156.2	226.4	42.2	107.5	134.4	66
Hs.233465	-1	10.4	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.23348	25.3	23.5	3.2	56.1	23.4	15.1	21.1	19.6	19.2	11.6
Hs.23349	0.8	-1	3.2	5.5	-1	5	-1	4.9	19.2	-1
Hs.233495	26.2	5.2	25.7	34.2	7.8	10.1	31.7	9.8	48	11.6
Hs.233533	0.8	2.6	-1	1.4	-1	5	-1	4.9	-1	19.4
Hs.233552	30.4	75.6	118.9	52	78.1	135.8	63.3	58.7	105.6	93.2
Hs.233568	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.23361	27	13	45	75.2	7.8	65.4	73.9	29.3	86.4	31.1
Hs.23363	25.3	93.9	28.9	60.2	-1	40.2	42.2	53.8	86.4	7.8
Hs.23367	-1	-1	-1	27.4	-1	-1	-1	-1	-1	-1
Hs.23388	26.2	23.5	25.7	52	23.4	60.4	21.1	58.7	19.2	81.5
Hs.233950	7.6	20.9	19.3	203.8	15.6	100.6	-1	39.1	86.4	54.4
Hs.233952	80.2	153.9	57.8	78	85.9	45.3	411.7	136.9	67.2	97.1
Hs.233955	7.6	5.2	9.6	15	15.6	5	10.6	9.8	48	15.5
Hs.234016	1.7	-1	-1	8.2	-1	-1	-1	-1	-1	-1
Hs.234027	-1	-1	-1	-1	-1	5	-1	-1	-1	-1
Hs.23406	16	-1	3.2	1.4	-1	-1	-1	-1	9.6	3.9
Hs.234074	136.8	-1	25.7	5.5	-1	-1	-1	4.9	38.4	27.2
Hs.23413	33.8	41.7	38.6	13.7	15.6	60.4	-1	14.7	48	42.7
Hs.234149	17.7	49.5	16.1	17.8	31.2	60.4	-1	68.4	9.6	11.6
Hs.234249	103	2.6	-1	9.6	15.6	5	-1	4.9	28.8	69.9
Hs.234282	93.7	88.7	90	78	31.2	25.2	10.6	83.1	86.4	46.6
Hs.234355	75.1	18.3	16.1	10.9	7.8	30.2	52.8	24.4	38.4	27.2
Hs.23439	11.8	31.3	3.2	20.5	23.4	-1	21.1	4.9	57.6	7.8
Hs.234434	103	13	16.1	24.6	31.2	-1	-1	39.1	38.4	3.9
Hs.234478	7.6	-1	-1	4.1	-1	-1	-1	4.9	38.4	11.6
Hs.234521	19.4	96.5	99.6	32.8	171.8	15.1	-1	58.7	9.6	42.7
Hs.234569	0.8	166.9	-1	2.7	15.6	15.1	31.7	-1	9.6	3.9
Hs.234572	25.3	44.3	25.7	32.8	23.4	10.1	-1	24.4	38.4	7.8
Hs.234573	15.2	18.3	12.9	15	23.4	-1	-1	9.8	-1	27.2
Hs.23459	1.7	-1	3.2	24.6	-1	-1	-1	-1	-1	15.5
Hs.234642	27	177.3	83.5	49.2	7.8	150.9	105.6	205.3	153.6	260.1
Hs.234681	10.1	18.3	22.5	6.8	-1	-1	-1	19.6	9.6	-1
Hs.234742	4.2	18.3	6.4	4.1	-1	-1	-1	303	-1	-1
Hs.234759	-1	-1	-1	4.1	-1	-1	-1	-1	-1	69.9
Hs.234763	0.8	-1	3.2	1.4	-1	-1	-1	-1	-1	-1
Hs.234766	-1	-1	-1	-1	15.6	-1	-1	-1	-1	-1
Hs.234775	11	-1	-1	1.4	-1	10.1	-1	-1	-1	7.8
Hs.234785	5.9	-1	3.2	2.7	-1	-1	-1	-1	-1	3.9
Hs.234786	26.2	15.6	12.9	16.4	70.3	50.3	-1	14.7	144	27.2
Hs.234895	1.7	-1	-1	10.9	-1	-1	-1	-1	-1	-1
Hs.234896	15.2	20.9	12.9	30.1	7.8	25.2	105.6	39.1	57.6	7.8
Hs.234898	31.2	18.3	77.1	73.9	46.8	40.2	31.7	24.4	38.4	201.9
Hs.23491	-1	5.2	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.23492	36.3	18.3	9.6	28.7	54.7	10.1	10.6	19.6	48	34.9
Hs.235050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.235069	43.9	106.9	77.1	46.5	70.3	15.1	63.3	117.3	48	42.7
Hs.235095	36.3	49.5	16.1	28.7	23.4	70.4	10.6	14.7	19.2	19.4
Hs.235116	34.6	96.5	6.4	28.7	23.4	25.2	52.8	39.1	38.4	50.5
Hs.235167	19.4	23.5	41.8	31.5	-1	15.1	84.4	24.4	19.2	23.3
Hs.2353	6.8	15.6	3.2	1.4	-1	-1	-1	-1	9.6	-1
Hs.235331	18.6	7.8	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.235368	7.6	2.6	3.2	8.2	7.8	10.1	-1	14.7	9.6	27.2
Hs.235390	255	88.7	57.8	130	85.9	50.3	10.6	88	163.2	81.5
Hs.235477	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.235484	-1	39.1	12.9	-1	-1	-1	-1	19.6	19.2	3.9
Hs.23554	5.9	10.4	3.2	13.7	23.4	5	21.1	9.8	-1	23.3
Hs.23560	-1	-1	-1	8.2	-1	-1	-1	-1	-1	-1
Hs.235750	18.6	26.1	22.5	52	46.8	50.3	31.7	19.6	19.2	15.5
Hs.235782	47.3	20.9	22.5	19.2	15.6	75.5	10.6	24.4	86.4	7.8
Hs.235795	16.9	2.6	19.3	12.3	15.6	-1	-1	4.9	9.6	-1
Hs.23581	66.7	93.9	151	123.1	195.2	55.3	158.3	229.7	163.2	205.8
Hs.23582	6.8	-1	70.7	62.9	124.9	5	-1	112.4	144	112.6
Hs.235838	3.4	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.23585	42.2	7.8	38.6	86.2	39	35.2	126.7	48.9	48	73.8
Hs.235873	468.6	2.6	-1	4.1	-1	5	-1	4.9	9.6	-1
Hs.23589	-1	-1	-1	9.6	-1	-1	-1	-1	9.6	-1
Hs.235935	73.5	18.3	19.3	9.6	7.8	-1	-1	14.7	9.6	167
Hs.235992	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.236030	127.5	122.6	138.1	94.4	54.7	70.4	42.2	88	76.8	97.1
Hs.23606	6.8	2.6	3.2	2.7	15.6	-1	-1	-1	9.6	7.8
Hs.23616	22	-1	-1	62.9	-1	-1	-1	-1	-1	-1
Hs.236217	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.236298	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.23632	-1	-1	3.2	52	-1	-1	-1	-1	-1	-1
Hs.236361	37.1	104.3	9.6	69.8	46.8	55.3	-1	48.9	48	85.4
Hs.23642	13.5	15.6	3.2	21.9	23.4	5	21.1	9.8	19.2	-1
Hs.236449	2.5	104.3	12.9	17.8	-1	20.1	-1	14.7	19.2	11.6
Hs.23648	25.3	5.2	3.2	5.5	7.8	-1	-1	14.7	-1	3.9
Hs.23650	57.4	86.1	54.6	49.2	109.3	85.5	42.2	92.9	9.6	225.2
Hs.236516	0.8	31.3	3.2	2.7	-1	5	10.6	34.2	-1	3.9
Hs.236557	-1	-1	-1	27.4	-1	-1	-1	-1	-1	-1
Hs.236572	13.5	41.7	22.5	13.7	15.6	30.2	10.6	9.8	9.6	19.4
Hs.236635	5.9	-1	-1	30.1	-1	-1	-1	-1	-1	-1
Hs.236646	1.7	-1	3.2	23.3	54.7	5	-1	-1	124.8	-1
Hs.23671	-1	-1	-1	42.4	-1	-1	-1	-1	-1	-1
Hs.236726	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.236774	72.6	80.8	134.9	91.7	46.8	80.5	10.6	73.3	134.4	54.4
Hs.23681	5.1	-1	-1	-1	23.4	-1	-1	-1	-1	-1
Hs.236828	48.1	62.6	45	38.3	31.2	25.2	42.2	24.4	105.6	38.8
Hs.236836	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.236896	-1	-1	-1	9.6	-1	-1	-1	-1	-1	-1
Hs.236940	13.5	15.6	54.6	31.5	7.8	5	-1	-1	19.2	-1
Hs.237007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.237017	5.9	7.8	9.6	17.8	7.8	5	-1	9.8	28.8	3.9
Hs.237028	4.2	10.4	22.5	10.9	15.6	-1	116.1	29.3	201.6	3.9
Hs.23725	4.2	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.23729	28.7	-1	12.9	20.5	15.6	20.1	42.2	9.8	-1	3.9
Hs.23735	19.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.237392	2.5	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.237396	9.3	5.2	6.4	26	7.8	-1	10.6	48.9	9.6	7.8
Hs.23748	233	75.6	90	161.4	46.8	125.8	73.9	180.8	144	93.2
Hs.237480	102.2	67.8	48.2	67	39	20.1	10.6	29.3	76.8	46.6
Hs.2375	-1	57.4	6.4	10.9	-1	-1	-1	-1	-1	-1
Hs.237506	45.6	5.2	25.7	21.9	85.9	15.1	-1	29.3	48	15.5
Hs.23751	7.6	-1	-1	6.8	7.8	10.1	-1	-1	-1	-1
Hs.237536	56.6	13	28.9	34.2	23.4	5	31.7	44	19.2	23.3
Hs.237642	47.3	18.3	28.9	23.3	7.8	15.1	179.4	34.2	307.3	89.3
Hs.237658	1.7	174.7	-1	4.1	164	-1	1372.2	58.7	28.8	-1
Hs.23777	3.4	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.237825	59.9	148.6	80.3	97.1	93.7	110.7	147.8	141.7	48	120.4
Hs.23783	14.4	-1	9.6	2.7	-1	-1	-1	-1	-1	34.9
Hs.237856	9.3	26.1	16.1	12.3	-1	5	-1	34.2	-1	3.9
Hs.237886	12.7	20.9	19.3	5.5	7.8	75.5	21.1	14.7	-1	34.9
Hs.23789	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.23796	11.8	20.9	25.7	1.4	-1	5	42.2	-1	19.2	15.5
Hs.238303	22.8	10.4	25.7	31.5	46.8	15.1	-1	39.1	57.6	23.3
Hs.238338	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.238432	104.7	104.3	109.2	151.9	70.3	100.6	95	176	67.2	85.4
Hs.23862	36.3	41.7	51.4	86.2	15.6	15.1	10.6	24.4	48	34.9
Hs.238655	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.23871	5.9	23.5	64.3	43.8	46.8	5	-1	-1	-1	7.8
Hs.238756	3.4	2.6	25.7	10.9	1093.1	-1	-1	9.8	28.8	3.9
Hs.23876	23.6	13	9.6	15	-1	10.1	31.7	39.1	48	7.8
Hs.238769	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.238839	49	52.2	51.4	61.6	78.1	60.4	42.2	78.2	28.8	38.8
Hs.238889	36.3	-1	3.2	4.1	-1	5	10.6	-1	19.2	38.8
Hs.2389	24.5	-1	-1	4.1	-1	5	-1	-1	-1	3.9
Hs.238914	6.8	2.6	25.7	10.9	-1	15.1	42.2	9.8	28.8	7.8
Hs.238964	4.2	-1	-1	30.1	-1	-1	-1	9.8	-1	-1
Hs.238990	166.3	143.4	61	65.7	54.7	35.2	-1	88	38.4	50.5
Hs.238996	0.8	2.6	-1	5.5	-1	15.1	21.1	-1	9.6	3.9
Hs.239	4.2	28.7	25.7	13.7	23.4	50.3	31.7	4.9	9.6	23.3
Hs.239108	1.7	2.6	-1	9.6	7.8	-1	-1	4.9	-1	-1
Hs.239154	32.9	18.3	22.5	24.6	23.4	5	31.7	24.4	28.8	42.7
Hs.23918	24.5	33.9	25.7	31.5	15.6	15.1	42.2	34.2	76.8	15.5
Hs.239181	9.3	-1	3.2	15	15.6	5	-1	-1	-1	7.8
Hs.239370	22.8	5.2	19.3	28.7	7.8	-1	-1	34.2	-1	31.1
Hs.239388	102.2	26.1	22.5	34.2	7.8	145.9	10.6	34.2	28.8	11.6
Hs.239444	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.239459	5.1	5.2	19.3	9.6	-1	25.2	10.6	9.8	9.6	-1
Hs.239499	22.8	46.9	25.7	26	39	60.4	52.8	48.9	48	27.2
Hs.239500	16	10.4	16.1	32.8	78.1	25.2	10.6	14.7	57.6	38.8
Hs.239514	5.9	-1	3.2	2.7	23.4	-1	-1	-1	-1	11.6
Hs.23956	10.1	18.3	51.4	42.4	15.6	5	10.6	14.7	144	23.3
Hs.23960	26.2	62.6	51.4	64.3	15.6	90.5	84.4	63.5	-1	23.3
Hs.239600	5.1	13	80.3	2.7	23.4	5	10.6	19.6	38.4	15.5
Hs.239631	86.1	52.2	73.9	72.5	124.9	125.8	73.9	151.5	28.8	69.9
Hs.239663	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.239666	13.5	10.4	6.4	15	-1	10.1	31.7	24.4	19.2	19.4
Hs.239676	-1	-1	-1	13.7	-1	-1	-1	-1	-1	-1
Hs.239718	38	18.3	12.9	26	15.6	-1	52.8	9.8	76.8	19.4
Hs.23978	164.6	302.5	330.9	269.5	78.1	145.9	31.7	92.9	76.8	570.8
Hs.239818	42.2	41.7	70.7	23.3	7.8	55.3	21.1	19.6	57.6	34.9
Hs.239891	0.8	-1	-1	-1	-1	201.2	-1	-1	-1	3.9
Hs.2399	22.8	33.9	131.7	41	23.4	55.3	-1	34.2	28.8	50.5
Hs.240	6.8	39.1	19.3	27.4	-1	5	84.4	19.6	9.6	-1
Hs.240053	39.7	-1	-1	64.3	-1	-1	-1	-1	-1	-1
Hs.240069	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.240170	16	13	12.9	4.1	-1	5	-1	9.8	-1	42.7
Hs.240182	5.1	-1	3.2	6.8	-1	145.9	10.6	141.7	19.2	7.8
Hs.24030	83.6	49.5	38.6	90.3	15.6	20.1	42.2	24.4	-1	62.1
Hs.240321	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.240395	1.7	20.9	6.4	12.3	15.6	20.1	-1	4.9	9.6	19.4
Hs.24040	18.6	-1	9.6	54.7	-1	-1	-1	24.4	9.6	139.8
Hs.240457	2.5	15.6	12.9	12.3	23.4	10.1	10.6	24.4	19.2	23.3
Hs.24054	31.2	26.1	28.9	26	-1	45.3	-1	19.6	38.4	34.9
Hs.240770	37.1	23.5	128.5	75.2	70.3	271.6	31.7	83.1	9.6	38.8
Hs.240801	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.240845	2.5	-1	3.2	2.7	7.8	-1	-1	-1	-1	-1
Hs.24088	6.8	10.4	6.4	15	15.6	10.1	31.7	4.9	48	19.4
Hs.240951	7.6	2.6	3.2	-1	-1	5	21.1	9.8	-1	3.9
Hs.24115	-1	5.2	3.2	10.9	-1	-1	10.6	-1	28.8	-1
Hs.24119	38.8	49.5	57.8	105.3	117.1	20.1	52.8	63.5	57.6	73.8
Hs.241336	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.24135	130	112.1	118.9	114.9	78.1	105.6	31.7	127.1	57.6	97.1
Hs.241377	5.1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.241382	0.8	2.6	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.241383	-1	-1	-1	2.7	-1	-1	-1	-1	-1	7.8
