NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.102428	-1	-1	3.2	-1	-1	-1	-1	-1	19.2	-1
Hs.102471	16	36.5	48.2	117.7	46.8	75.5	84.4	97.8	19.2	73.8
Hs.102480	23.6	28.7	32.1	30.1	15.6	-1	52.8	19.6	19.2	15.5
Hs.102484	-1	-1	-1	15	-1	-1	-1	-1	-1	15.5
Hs.102513	3.4	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.102558	3.4	5.2	-1	16.4	-1	40.2	-1	9.8	9.6	7.8
Hs.102572	6.8	-1	3.2	-1	-1	-1	-1	-1	19.2	11.6
Hs.102598	3.4	2.6	3.2	-1	7.8	-1	-1	-1	-1	-1
Hs.102607	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.10263	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.102696	11	41.7	22.5	23.3	62.5	20.1	105.6	29.3	48	3.9
Hs.1027	16.9	5.2	64.3	27.4	226.4	5	-1	63.5	38.4	3.9
Hs.102728	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.102735	99.6	106.9	115.7	43.8	156.2	20.1	31.7	102.6	38.4	85.4
Hs.102788	35.5	70.4	86.7	53.4	23.4	65.4	190	48.9	67.2	182.5
Hs.102798	82.7	80.8	131.7	106.7	218.6	90.5	221.7	88	67.2	93.2
Hs.102866	21.1	13	3.2	296.9	-1	-1	10.6	-1	-1	-1
Hs.102890	-1	-1	-1	-1	7.8	-1	10.6	24.4	-1	-1
Hs.102896	-1	-1	-1	-1	-1	-1	-1	24.4	-1	-1
Hs.102914	79.4	109.5	61	140.9	23.4	40.2	42.2	48.9	48	31.1
Hs.102923	-1	-1	-1	-1	-1	-1	-1	24.4	-1	-1
Hs.102928	59.1	46.9	35.3	35.6	15.6	20.1	52.8	14.7	48	19.4
Hs.102941	-1	-1	16.1	-1	-1	5	-1	-1	-1	3.9
Hs.102971	1.7	2.6	-1	5.5	-1	-1	-1	-1	9.6	-1
Hs.1030	11	20.9	16.1	1.4	-1	15.1	-1	4.9	-1	11.6
Hs.10305	-1	18.3	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.10306	2.5	26.1	9.6	16.4	7.8	5	-1	14.7	-1	3.9
Hs.103068	-1	-1	32.1	4.1	-1	5	-1	-1	9.6	3.9
Hs.103070	-1	2.6	16.1	-1	-1	-1	-1	-1	-1	-1
Hs.103106	20.3	23.5	3.2	16.4	78.1	-1	42.2	34.2	19.2	19.4
Hs.103110	16.9	26.1	28.9	15	78.1	80.5	31.7	29.3	96	11.6
Hs.103128	2.5	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.103137	38.8	-1	-1	13.7	31.2	5	-1	4.9	9.6	3.9
Hs.103142	3.4	-1	-1	4.1	15.6	-1	-1	-1	28.8	-1
Hs.103146	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.103147	131.7	65.2	41.8	132.7	23.4	60.4	21.1	48.9	76.8	54.4
Hs.103156	0.8	-1	-1	4.1	23.4	-1	-1	-1	-1	34.9
Hs.103159	-1	-1	-1	-1	23.4	-1	-1	-1	-1	3.9
Hs.103183	26.2	75.6	16.1	45.1	23.4	35.2	42.2	34.2	201.6	34.9
Hs.10319	0.8	-1	-1	1.4	-1	-1	-1	-1	9.6	-1
Hs.103241	-1	-1	-1	-1	23.4	-1	-1	-1	-1	-1
Hs.103253	11.8	-1	67.5	12.3	46.8	5	10.6	19.6	9.6	11.6
Hs.10326	137.6	140.8	90	97.1	109.3	60.4	-1	132	48	85.4
Hs.103291	80.2	5.2	22.5	36.9	85.9	5	-1	39.1	19.2	3.9
Hs.103315	33.8	96.5	35.3	71.1	39	80.5	21.1	14.7	38.4	58.2
Hs.103320	2.5	-1	-1	-1	-1	-1	-1	24.4	-1	-1
Hs.103334	3.4	-1	-1	-1	-1	-1	-1	-1	-1	3.9
Hs.103348	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
